AL,red
AK,red
AZ,red
AR,red
CA,blue
CO,split
CT,blue
DE,blue
FL,split
GA,red
HI,blue
ID,red
IL,blue
IN,split
IA,split
KS,red
KY,red
LA,red
ME,split
MD,blue
MA,blue
MI,split
MN,blue
MS,red
MO,red
MT,red
NE,split
NV,split
NH,split
NJ,blue
NM,split
NY,blue
NC,split
ND,red
OH,split
OK,red
OR,blue
PA,split
RI,blue
SC,red
SD,red
TN,red
TX,red
UT,red
VT,blue
VA,split
WA,blue
WV,red
WI,split
WY,red
